2024-04-08 14:32:02.179732, [Type.TEMPERATURE: 26.25579833984375 Unit.CELCIUS, Type.HUMIDITY: 20.46499252319336 Unit.HUMIDITY, Type.LUMINOSITY: 9401 Unit.LUX]
2024-04-08 14:32:03.181381, [Type.TEMPERATURE: 26.342010498046875 Unit.CELCIUS, Type.HUMIDITY: 20.497608184814453 Unit.HUMIDITY, Type.LUMINOSITY: 2065 Unit.LUX]
2024-04-08 14:32:04.179491, [Type.TEMPERATURE: 26.40228271484375 Unit.CELCIUS, Type.HUMIDITY: 20.575809478759766 Unit.HUMIDITY, Type.LUMINOSITY: 9126 Unit.LUX]
2024-04-08 14:32:05.179005, [Type.TEMPERATURE: 26.48296356201172 Unit.CELCIUS, Type.HUMIDITY: 20.88031768798828 Unit.HUMIDITY, Type.LUMINOSITY: 9224 Unit.LUX]
2024-04-08 14:32:06.180646, [Type.TEMPERATURE: 26.552963256835938 Unit.CELCIUS, Type.HUMIDITY: 21.111679077148438 Unit.HUMIDITY, Type.LUMINOSITY: 9136 Unit.LUX]
2024-04-08 14:32:07.179480, [Type.TEMPERATURE: 26.682662963867188 Unit.CELCIUS, Type.HUMIDITY: 21.28772735595703 Unit.HUMIDITY, Type.LUMINOSITY: 9084 Unit.LUX]
2024-04-08 14:32:08.180884, [Type.TEMPERATURE: 26.785659790039062 Unit.CELCIUS, Type.HUMIDITY: 21.388721466064453 Unit.HUMIDITY, Type.LUMINOSITY: 9069 Unit.LUX]
2024-04-08 14:32:09.180281, [Type.TEMPERATURE: 26.894760131835938 Unit.CELCIUS, Type.HUMIDITY: 21.511554718017578 Unit.HUMIDITY, Type.LUMINOSITY: 9042 Unit.LUX]
2024-04-08 14:32:10.179680, [Type.TEMPERATURE: 27.035140991210938 Unit.CELCIUS, Type.HUMIDITY: 21.517467498779297 Unit.HUMIDITY, Type.LUMINOSITY: 8992 Unit.LUX]
2024-04-08 14:32:11.178785, [Type.TEMPERATURE: 27.078628540039062 Unit.CELCIUS, Type.HUMIDITY: 21.248912811279297 Unit.HUMIDITY, Type.LUMINOSITY: 8908 Unit.LUX]
2024-04-08 14:32:12.180357, [Type.TEMPERATURE: 27.114105224609375 Unit.CELCIUS, Type.HUMIDITY: 20.940017700195312 Unit.HUMIDITY, Type.LUMINOSITY: 8978 Unit.LUX]
2024-04-08 14:32:13.179893, [Type.TEMPERATURE: 27.200698852539062 Unit.CELCIUS, Type.HUMIDITY: 20.693111419677734 Unit.HUMIDITY, Type.LUMINOSITY: 8979 Unit.LUX]
2024-04-08 14:32:14.181444, [Type.TEMPERATURE: 27.2613525390625 Unit.CELCIUS, Type.HUMIDITY: 20.543956756591797 Unit.HUMIDITY, Type.LUMINOSITY: 8961 Unit.LUX]
2024-04-08 14:32:15.179716, [Type.TEMPERATURE: 27.343177795410156 Unit.CELCIUS, Type.HUMIDITY: 20.41616439819336 Unit.HUMIDITY, Type.LUMINOSITY: 8889 Unit.LUX]
2024-04-08 14:32:16.180805, [Type.TEMPERATURE: 27.391433715820312 Unit.CELCIUS, Type.HUMIDITY: 20.37057876586914 Unit.HUMIDITY, Type.LUMINOSITY: 8854 Unit.LUX]
2024-04-08 14:32:17.179707, [Type.TEMPERATURE: 27.41680145263672 Unit.CELCIUS, Type.HUMIDITY: 20.462417602539062 Unit.HUMIDITY, Type.LUMINOSITY: 8874 Unit.LUX]
2024-04-08 14:32:18.180847, [Type.TEMPERATURE: 27.45227813720703 Unit.CELCIUS, Type.HUMIDITY: 20.37038803100586 Unit.HUMIDITY, Type.LUMINOSITY: 8885 Unit.LUX]
2024-04-08 14:32:19.180102, [Type.TEMPERATURE: 27.450942993164062 Unit.CELCIUS, Type.HUMIDITY: 20.379352569580078 Unit.HUMIDITY, Type.LUMINOSITY: 8898 Unit.LUX]
2024-04-08 14:32:20.180523, [Type.TEMPERATURE: 27.53620147705078 Unit.CELCIUS, Type.HUMIDITY: 20.324039459228516 Unit.HUMIDITY, Type.LUMINOSITY: 8907 Unit.LUX]
2024-04-08 14:32:21.181115, [Type.TEMPERATURE: 27.560043334960938 Unit.CELCIUS, Type.HUMIDITY: 20.519542694091797 Unit.HUMIDITY, Type.LUMINOSITY: 8900 Unit.LUX]
2024-04-08 14:32:22.192576, [Type.TEMPERATURE: 27.57701873779297 Unit.CELCIUS, Type.HUMIDITY: 20.391464233398438 Unit.HUMIDITY, Type.LUMINOSITY: 8871 Unit.LUX]
2024-04-08 14:32:23.180374, [Type.TEMPERATURE: 27.635574340820312 Unit.CELCIUS, Type.HUMIDITY: 20.13559341430664 Unit.HUMIDITY, Type.LUMINOSITY: 8911 Unit.LUX]
2024-04-08 14:32:24.180130, [Type.TEMPERATURE: 27.649879455566406 Unit.CELCIUS, Type.HUMIDITY: 19.806957244873047 Unit.HUMIDITY, Type.LUMINOSITY: 8984 Unit.LUX]
2024-04-08 14:32:25.181217, [Type.TEMPERATURE: 27.678298950195312 Unit.CELCIUS, Type.HUMIDITY: 19.597148895263672 Unit.HUMIDITY, Type.LUMINOSITY: 8911 Unit.LUX]
2024-04-08 14:32:26.182499, [Type.TEMPERATURE: 27.695083618164062 Unit.CELCIUS, Type.HUMIDITY: 19.37856674194336 Unit.HUMIDITY, Type.LUMINOSITY: 8076 Unit.LUX]
2024-04-08 14:32:27.180208, [Type.TEMPERATURE: 27.72693634033203 Unit.CELCIUS, Type.HUMIDITY: 19.245433807373047 Unit.HUMIDITY, Type.LUMINOSITY: 7789 Unit.LUX]
2024-04-08 14:32:28.181766, [Type.TEMPERATURE: 27.719879150390625 Unit.CELCIUS, Type.HUMIDITY: 19.21215057373047 Unit.HUMIDITY, Type.LUMINOSITY: 7657 Unit.LUX]
2024-04-08 14:32:29.181625, [Type.TEMPERATURE: 27.608108520507812 Unit.CELCIUS, Type.HUMIDITY: 18.946456909179688 Unit.HUMIDITY, Type.LUMINOSITY: 7680 Unit.LUX]
2024-04-08 14:32:30.179722, [Type.TEMPERATURE: 27.592849731445312 Unit.CELCIUS, Type.HUMIDITY: 18.708515167236328 Unit.HUMIDITY, Type.LUMINOSITY: 7684 Unit.LUX]
2024-04-08 14:32:31.179979, [Type.TEMPERATURE: 27.518272399902344 Unit.CELCIUS, Type.HUMIDITY: 18.40534210205078 Unit.HUMIDITY, Type.LUMINOSITY: 7729 Unit.LUX]
2024-04-08 14:32:32.179107, [Type.TEMPERATURE: 27.467727661132812 Unit.CELCIUS, Type.HUMIDITY: 18.278789520263672 Unit.HUMIDITY, Type.LUMINOSITY: 7615 Unit.LUX]
2024-04-08 14:32:33.179120, [Type.TEMPERATURE: 27.468109130859375 Unit.CELCIUS, Type.HUMIDITY: 18.062973022460938 Unit.HUMIDITY, Type.LUMINOSITY: 7752 Unit.LUX]
2024-04-08 14:32:34.180432, [Type.TEMPERATURE: 27.525901794433594 Unit.CELCIUS, Type.HUMIDITY: 17.860984802246094 Unit.HUMIDITY, Type.LUMINOSITY: 7670 Unit.LUX]
2024-04-08 14:32:35.179591, [Type.TEMPERATURE: 27.57282257080078 Unit.CELCIUS, Type.HUMIDITY: 17.677688598632812 Unit.HUMIDITY, Type.LUMINOSITY: 7872 Unit.LUX]
2024-04-08 14:32:36.179988, [Type.TEMPERATURE: 27.5177001953125 Unit.CELCIUS, Type.HUMIDITY: 17.339706420898438 Unit.HUMIDITY, Type.LUMINOSITY: 7981 Unit.LUX]
2024-04-08 14:32:37.183221, [Type.TEMPERATURE: 27.54230499267578 Unit.CELCIUS, Type.HUMIDITY: 17.316532135009766 Unit.HUMIDITY, Type.LUMINOSITY: 7955 Unit.LUX]
2024-04-08 14:32:38.180668, [Type.TEMPERATURE: 27.58312225341797 Unit.CELCIUS, Type.HUMIDITY: 17.28801727294922 Unit.HUMIDITY, Type.LUMINOSITY: 7973 Unit.LUX]
2024-04-08 14:32:39.187440, [Type.TEMPERATURE: 27.691268920898438 Unit.CELCIUS, Type.HUMIDITY: 17.085647583007812 Unit.HUMIDITY, Type.LUMINOSITY: 7831 Unit.LUX]
2024-04-08 14:32:40.181326, [Type.TEMPERATURE: 27.83527374267578 Unit.CELCIUS, Type.HUMIDITY: 17.05036163330078 Unit.HUMIDITY, Type.LUMINOSITY: 7972 Unit.LUX]
2024-04-08 14:32:41.181373, [Type.TEMPERATURE: 27.921485900878906 Unit.CELCIUS, Type.HUMIDITY: 17.116069793701172 Unit.HUMIDITY, Type.LUMINOSITY: 8040 Unit.LUX]
2024-04-08 14:32:42.181835, [Type.TEMPERATURE: 27.93598175048828 Unit.CELCIUS, Type.HUMIDITY: 16.983985900878906 Unit.HUMIDITY, Type.LUMINOSITY: 8019 Unit.LUX]
